Brand,Type,Manufacture_year,Mileage,Price,Body_type,Fuel,Horse_Power,Gear_box,Transmission,Color,Governorate,Address
Suzuki,S-Presso GL,09-2020,34 000 km,34 000 DT,Autres,Essence,4                                                                            CV,Manuelle,Traction,Gris anthracite,Tunis,ADRESSE :Les Berges du Lac 1
BMW,Série 4 Gran Coupé 418I,07-2017,85 000 km,105 000 DT,Autres,Essence,7                                                                            CV,Automatique,Propulsion,Gris argent,Tunis,ADRESSE :Les Berges du Lac 1
BMW,Série 3 318I,01-2016,166 000 km,73 000 DT,Autres,Essence,7                                                                            CV,Automatique,Propulsion,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Renault,Captur,03-2014,110 000 km,43 000 DT,Autres,Essence,6                                                                            CV,Manuelle,Traction,Noir,Tunis,ADRESSE :Les Berges du Lac 1
KIA,Sportage,03-2015,239 000 km,83 000 DT,Autres,Diesel,7                                                                            CV,Manuelle,Traction,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
Toyota,RAV 4 2.2l active,10-2008,140 000 km,48 000 DT,SUV/4x4,Diesel,14                                                                            CV,Automatique,Propulsion,Rouge,Tunis,ADRESSE :Les Berges du Lac 1
Land,Rover Defender 110 110,07-2015,95 000 km,220 000 DT,SUV/4x4,Diesel,7                                                                            CV,Manuelle,Propulsion,Gris argent,Tunis,ADRESSE :Les Berges du Lac 1
Toyota,Land Cruiser VXR V8 LC200 4.5L BVM,11-2009,249 000 km,115 000 DT,SUV/4x4,Diesel,18                                                                            CV,Manuelle,Intégrale,Beige,Tunis,ADRESSE :Les Berges du Lac 1
Toyota,Land Cruiser VXR V8 LC200 4.5L BVM,08-2008,178 000 km,135 000 DT,SUV/4x4,Diesel,20                                                                            CV,Manuelle,Intégrale,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
MG,GS LUX 1.5L BVA,12-2017,143 000 km,58 500 DT,Autres,Essence,9                                                                            CV,Automatique,Traction,Beige,Tunis,ADRESSE :Les Berges du Lac 1
Renault,Clio 4 DYNAMIQUE 1.2 L,06-2019,85 000 km,41 000 DT,Compacte,Essence,5                                                                            CV,Manuelle,Traction,Gris argent,Tunis,ADRESSE :Les Berges du Lac 1
Mazda,3 1.5 L Skyactiv,06-2015,138 000 km,44 000 DT,Berline,Essence,6                                                                            CV,Manuelle,Traction,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
Hyundai,Veloster,07-2014,119 000 km,41 000 DT,Compacte,Essence,8                                                                            CV,Automatique,Traction,Gris argent,Tunis,ADRESSE :Les Berges du Lac 1
Haval,H6 1.5 T 7-DCT,11-2019,22 000 km,98 000 DT,Autres,Essence,9                                                                            CV,Automatique,Traction,Rouge,Tunis,ADRESSE :Les Berges du Lac 1
Volkswagen,Polo 8 ENERGY,06-2019,116 000 km,47 000 DT,Compacte,Essence,4                                                                            CV,Manuelle,Traction,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Fiat,500 1.2 L BVM,11-2016,70 000 km,42 000 DT,Citadine,Essence,4                                                                            CV,Manuelle,Traction,Vert,Tunis,ADRESSE :Les Berges du Lac 1
Renault,Captur TCE 90,02-2021,28 000 km,65 000 DT,Citadine,Essence,5                                                                            CV,Manuelle,Traction,Gris anthracite,Tunis,ADRESSE :Les Berges du Lac 1
Volkswagen,Jetta BVM,09-2013,250 000 km,36 000 DT,Berline,Essence,8                                                                            CV,Manuelle,Traction,Noir,Tunis,ADRESSE :Les Berges du Lac 1
BMW,Série 3 318I F30 PACK M,07-2019,43 000 km,135 000 DT,Berline,Essence,7                                                                            CV,Automatique,Propulsion,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Volkswagen,Polo Sedan 1.4 HIGHLINE,07-2018,131 000 km,52 000 DT,Berline,Essence,5                                                                            CV,Manuelle,Traction,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Mercedes-Benz,Classe E E200 AMG BVA,09-2014,145 000 km,89 000 DT,Berline,Essence,10                                                                            CV,Automatique,Propulsion,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
Volkswagen,Golf 6 1.6 L,07-2009,179 000 km,40 000 DT,Compacte,Essence,6                                                                            CV,Manuelle,Traction,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Toyota,RAV 4 2.0 L ACTIVE,07-2015,190 000 km,79 000 DT,SUV/4x4,Essence,9                                                                            CV,Automatique,Intégrale,Noir,Tunis,ADRESSE :Les Berges du Lac 1
KIA,Sportage GDI,07-2018,80 000 km,91 000 DT,Autres,Essence,8                                                                            CV,Automatique,Traction,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Mini,3 portes ONE 3 PORTES,11-2017,80 000 km,73 000 DT,Autres,Essence,5                                                                            CV,Manuelle,Traction,Gris argent,Tunis,ADRESSE :Les Berges du Lac 1
Chevrolet,Cruze 5P CRUZE LT,06-2018,100 000 km,37 500 DT,Berline,Essence,7                                                                            CV,Manuelle,Traction,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Fiat,Panda 1.2 L,08-2016,86 000 km,32 000 DT,Citadine,Essence,4                                                                            CV,Manuelle,Traction,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Jaguar,F-Pace 3.0,10-2019,22 000 km,395 000 DT,SUV/4x4,Essence,24                                                                            CV,Automatique,Intégrale,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
Audi,Q7 QUATTRO S-LINE,07-2010,200 000 km,55 000 DT,SUV/4x4,Diesel,16                                                                            CV,Automatique,Intégrale,Gris Shark,Tunis,ADRESSE :Les Berges du Lac 1
BMW,Série 3 PACK M INDIVIDUAL,08-2014,146 000 km,89 000 DT,Berline,Essence,7                                                                            CV,Automatique,Propulsion,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
BMW,X1 18I S-DRIVE,10-2010,194 000 km,55 000 DT,SUV/4x4,Essence,9                                                                            CV,Automatique,Propulsion,Marron,Tunis,ADRESSE :Les Berges du Lac 1
Honda,City 1.5 L LX CVT,04-2022,2 000 km,73 000 DT,Berline,Essence,6                                                                            CV,Automatique,Traction,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
Volkswagen,Golf 7 SMARTLINE TDI 1.6L,03-2018,160 000 km,70 000 DT,Compacte,Diesel,6                                                                            CV,Manuelle,Traction,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Peugeot,3008 ALLURE BVA,07-2017,86 000 km,89 000 DT,Autres,Essence,9                                                                            CV,Automatique,Traction,Orange,Tunis,ADRESSE :Les Berges du Lac 1
Seat,Leon FR,09-2015,96 000 km,54 000 DT,Compacte,Essence,6                                                                            CV,Automatique,Traction,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
Porsche,Cayenne V6 3.6 BVA,06-2009,160 000 km,85 000 DT,SUV/4x4,Essence,21                                                                            CV,Automatique,Intégrale,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Seat,Leon SC BVM 1.2,04-2015,128 000 km,47 000 DT,Autres,Essence,6                                                                            CV,Manuelle,Traction,Beige,Tunis,ADRESSE :Les Berges du Lac 1
Mercedes-Benz,Classe C KOMPRESSOR BVA,11-2012,210 000 km,68 000 DT,Berline,Essence,9                                                                            CV,Automatique,Propulsion,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Volkswagen,Amarok 2L TDI BVM,06-2016,140 000 km,81 000 DT,Pick up,Diesel,7                                                                            CV,Manuelle,Intégrale,Bleu,Tunis,ADRESSE :Les Berges du Lac 1
BMW,X1 S DRIVE 18i BVA,05-2017,68 000 km,120 000 DT,SUV/4x4,Essence,7                                                                            CV,Automatique,Propulsion,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
Volkswagen,Golf 7 BLUEMOTION ALLSTAR 1.2L,06-2016,73 000 km,69 500 DT,Compacte,Essence,6                                                                            CV,Manuelle,Traction,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Volkswagen,Passat Smartline,03-2018,118 000 km,69 000 DT,Berline,Essence,7                                                                            CV,Manuelle,Traction,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Haval,H6 1.5 T 7-DCT,10-2019,50 000 km,91 000 DT,Autres,Essence,9                                                                            CV,Automatique,Traction,Marron,Tunis,ADRESSE :Les Berges du Lac 1
Peugeot,301 1.2 L ACTIVE,01-2019,160 000 km,27 000 DT,Berline,Essence,5                                                                            CV,Manuelle,Traction,Gris anthracite,Tunis,ADRESSE :Les Berges du Lac 1
Fiat,Tipo Berline,11-2017,87 000 km,48 000 DT,Berline,Essence,5                                                                            CV,Manuelle,Traction,Marron,Tunis,ADRESSE :Les Berges du Lac 1
BMW,Série 4 Gran Coupé 418i M GRAND COUPE,10-2017,96 000 km,135 000 DT,Coupé,Essence,7                                                                            CV,Automatique,Propulsion,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
Volkswagen,Touareg V6 TDI,07-2016,188 000 km,185 000 DT,SUV/4x4,Diesel,12                                                                            CV,Automatique,Intégrale,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Audi,A3 S LINE,10-2017,120 000 km,87 000 DT,Compacte,Essence,6                                                                            CV,Automatique,Traction,Gris argent,Tunis,ADRESSE :Les Berges du Lac 1
Volkswagen,Golf 7 R LINE,11-2017,140 000 km,86 000 DT,Compacte,Essence,6                                                                            CV,Automatique,Traction,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
BMW,Série 5 530i X DRIVE  M SPORT,01-2018,74 000 km,225 000 DT,Berline,Essence,15                                                                            CV,Automatique,Intégrale,Bleu,Tunis,ADRESSE :Les Berges du Lac 1
Seat,Ibiza BVM,12-2019,70 000 km,54 000 DT,Compacte,Essence,4                                                                            CV,Manuelle,Traction,Beige,Tunis,ADRESSE :Les Berges du Lac 1
Alfa,Romeo Stelvio,04-2018,170 000 km,195 000 DT,SUV/4x4,Diesel,8                                                                            CV,Automatique,Intégrale,Bleu,Tunis,ADRESSE :Les Berges du Lac 1
Volkswagen,Amarok 2.0l BVM,06-2016,185 000 km,80 000 DT,Pick up,Diesel,7                                                                            CV,Manuelle,Intégrale,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Audi,Q5 S-line 2L TFSI,08-2009,148 000 km,67 000 DT,SUV/4x4,Essence,13                                                                            CV,Automatique,Intégrale,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
BMW,Série 3 318i Luxury,06-2017,190 000 km,89 000 DT,Berline,Essence,7                                                                            CV,Automatique,Propulsion,Bleu,Tunis,ADRESSE :Les Berges du Lac 1
Audi,Q5 45 TFSI QUATTRO ADVANCED PLUS,08-2019,40 000 km,210 000 DT,SUV/4x4,Essence,16                                                                            CV,Automatique,Intégrale,Gris Shark,Tunis,ADRESSE :Les Berges du Lac 1
Mercedes-Benz,Classe A A180 BVM,10-2013,124 000 km,59 000 DT,Compacte,Essence,6                                                                            CV,Manuelle,Traction,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Toyota,Land Cruiser 79,03-2022,12 000 km,159 000 DT,SUV/4x4,Diesel,11                                                                            CV,Manuelle,Intégrale,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
Land,Rover Range Rover Velar 2.0 D,04-2019,40 000 km,320 000 DT,SUV/4x4,Diesel,11                                                                            CV,Automatique,Intégrale,Gris Shark,Tunis,ADRESSE :Les Berges du Lac 1
Volkswagen,Golf 7,08-2012,190 000 km,44 000 DT,Compacte,Essence,6                                                                            CV,Manuelle,Traction,Gris Shark,Tunis,ADRESSE :Les Berges du Lac 1
Fiat,500,10-2013,90 000 km,34 000 DT,Citadine,Essence,4                                                                            CV,Manuelle,Traction,Rouge,Tunis,ADRESSE :Les Berges du Lac 1
KIA,Sportage CRDI,10-2014,150 000 km,73 000 DT,Autres,Diesel,7                                                                            CV,Manuelle,Traction,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
Jeep,Wrangler Rubicon,07-2012,146 000 km,189 000 DT,SUV/4x4,Essence,20                                                                            CV,Automatique,Intégrale,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Audi,A4 35 TFSI S-TRONIC S-LINE,11-2016,80 000 km,148 000 DT,Berline,Essence,8                                                                            CV,Automatique,Traction,Rouge,Tunis,ADRESSE :Les Berges du Lac 1
Land,Rover Range Rover Vogue SWB Mark X,07-2018,40 000 km,730 000 DT,SUV/4x4,Diesel,19                                                                            CV,Automatique,Intégrale,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Dacia,Duster 4×4,08-2017,160 000 km,47 000 DT,SUV/4x4,Diesel,6                                                                            CV,Manuelle,Intégrale,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
Renault,Koleos,08-2014,96 000 km,67 000 DT,Autres,Diesel,8                                                                            CV,Manuelle,Traction,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Peugeot,508 ALLURE,06-2015,145 000 km,51 000 DT,Berline,Essence,8                                                                            CV,Automatique,Traction,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Mercedes-Benz,Classe C C180 W205,02-2017,250 000 km,115 000 DT,Berline,Essence,8                                                                            CV,Automatique,Propulsion,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Audi,A6 ABT 3.0 V6 ESS QUATTRO,08-2012,150 000 km,112 000 DT,Berline,Essence,20                                                                            CV,Automatique,Intégrale,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Volkswagen,Polo Sedan HIGHLINE,06-2022,11 000 km,67 000 DT,Berline,Essence,5                                                                            CV,Manuelle,Traction,Gris Shark,Tunis,ADRESSE :Les Berges du Lac 1
Seat,Ateca XCELLENCE,08-2017,250 000 km,69 000 DT,Autres,Essence,8                                                                            CV,Automatique,Traction,Gris Shark,Tunis,ADRESSE :Les Berges du Lac 1
Nissan,Qashqai TEKNA 1.2L BVA,03-2018,77 000 km,78 000 DT,Autres,Essence,7                                                                            CV,Automatique,Traction,Gris Shark,Tunis,ADRESSE :Les Berges du Lac 1
BMW,Série 1 BUSINESS LINE,08-2017,73 000 km,74 000 DT,Compacte,Essence,6                                                                            CV,Manuelle,Propulsion,Bleu,Tunis,ADRESSE :Les Berges du Lac 1
BMW,Série 5 F10 523i LUXURY BVA,06-2011,250 000 km,83 000 DT,Berline,Essence,12                                                                            CV,Automatique,Propulsion,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
Toyota,Prado 3.0 L 4×4 BVA,05-2018,140 000 km,220 000 DT,SUV/4x4,Diesel,11                                                                            CV,Automatique,Intégrale,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Toyota,Prado 3.0 L 4×4 BVA,10-2015,200 000 km,180 000 DT,SUV/4x4,Diesel,11                                                                            CV,Automatique,Intégrale,Gris argent,Tunis,ADRESSE :Les Berges du Lac 1
Dongfeng,S50 1.5 L BVM,09-2019,44 000 km,44 000 DT,Berline,Essence,6                                                                            CV,Manuelle,Traction,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
Haval,H6 1.5 T 7-DCT,06-2020,64 000 km,102 000 DT,Autres,Essence,9                                                                            CV,Automatique,Traction,Noir,Tunis,ADRESSE :Les Berges du Lac 1
Mercedes-Benz,Classe E E 200 CGI,10-2010,227 000 km,55 000 DT,Berline,Essence,10                                                                            CV,Automatique,Propulsion,Gris anthracite,Tunis,ADRESSE :Les Berges du Lac 1
Iveco,Daily Simple Cabine BVA,10-2019,46 000 km,98 000 DT,Utilitaire,Diesel,8                                                                            CV,Automatique,Propulsion,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
Volkswagen,Touareg 2.5 TDI,03-2008,190 000 km,52 000 DT,SUV/4x4,Diesel,13                                                                            CV,Automatique,Intégrale,Gris anthracite,Tunis,ADRESSE :Les Berges du Lac 1
KIA,Sportage 1.7L CRDI,01-2018,79 000 km,87 000 DT,SUV/4x4,Diesel,6                                                                            CV,Manuelle,Traction,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
Volkswagen,Tiguan 1.4 TSI,04-2020,53 000 km,120 000 DT,SUV/4x4,Essence,8                                                                            CV,Automatique,Intégrale,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
BMW,Série 3 E92 320I PACK SPORT BVA,10-2010,240 000 km,49 000 DT,Berline,Essence,10                                                                            CV,Automatique,Propulsion,Noir,Tunis,ADRESSE :Les Berges du Lac 1
BMW,Série 5 E60 520i BVM,07-2008,160 000 km,43 000 DT,Berline,Essence,9                                                                            CV,Manuelle,Propulsion,Blanc,Tunis,ADRESSE :Les Berges du Lac 1
Jeep,Wrangler Rubicon,07-2014,89 000 km,220 000 DT,SUV/4x4,Diesel,13                                                                            CV,Manuelle,Intégrale,Noir,Tunis,ADRESSE :les berges du lac 1
Audi,A3 LIMOUSINE 1.2 L,04-2017,114 000 km,79 000 DT,Berline,Essence,8                                                                            CV,Automatique,Traction,Blanc,Tunis,ADRESSE :les berges du lac 1
Porsche,Cayenne,07-2009,165 000 km,85 000 DT,SUV/4x4,Essence,21                                                                            CV,Automatique,Intégrale,Noir,Tunis,ADRESSE :les berges du lac 1
Toyota,Prado LAND CRUISER,07-2006,300 000 km,85 000 DT,SUV/4x4,Diesel,11                                                                            CV,Manuelle,Intégrale,Noir,Tunis,ADRESSE :Les berges du lac 1
Jeep,Compass,09-2019,18 000 km,115 000 DT,SUV/4x4,Essence,8                                                                            CV,Manuelle,Traction,Noir,Tunis,ADRESSE :les berges du lac 1
Mercedes-Benz,Classe E E220 CDI AVANT GARDE,03-2010,270 000 km,55 000 DT,Berline,Diesel,10                                                                            CV,Automatique,Propulsion,Noir,Tunis,ADRESSE :les berges du lac 1
Volvo,XC60,06-2012,120 000 km,70 000 DT,SUV/4x4,Diesel,10                                                                            CV,Automatique,Intégrale,Noir,Tunis,ADRESSE :les berges du lac 1
Porsche,Cayenne GTS,07-2015,130 000 km,390 000 DT,SUV/4x4,Essence,33                                                                            CV,Automatique,Intégrale,Gris anthracite,Tunis,ADRESSE :Les berges du lac 1
Nissan,Navara DOUBLE-CAB TD 150,04-2019,140 000 km,81 000 DT,SUV/4x4,Diesel,10                                                                            CV,Manuelle,Intégrale,Noir,Tunis,ADRESSE :les berges du lac 1
Land,Rover Discovery Sport,01-2016,20 000 km,195 000 DT,SUV/4x4,Essence,15                                                                            CV,Automatique,Intégrale,Blanc,Tunis,ADRESSE :Les berges du lac 1
Volkswagen,Crafter 2L,09-2014,270 000 km,38 000 DT,Utilitaire,Diesel,7                                                                            CV,Manuelle,Intégrale,Blanc,Tunis,ADRESSE :Les berges du lac 1
Audi,Q5 S-LINE,06-2011,160 000 km,95 000 DT,SUV/4x4,Diesel,10                                                                            CV,Automatique,Intégrale,Blanc,Tunis,ADRESSE :Les berges du lac
Jaguar,S-Type 3.0L V6,08-2007,170 000 km,28 000 DT,Berline,Essence,16                                                                            CV,Manuelle,Propulsion,Noir,Tunis,ADRESSE :Les berges du lac
Mercedes-Benz,Classe S S350 EMC,11-2009,60 000 km,190 000 DT,Berline,Essence,15                                                                            CV,Automatique,Propulsion,Noir,Tunis,ADRESSE :Les berges du lac
Land,Rover Range Rover Sport,04-2016,75 000 km,340 000 DT,SUV/4x4,Essence,24                                                                            CV,Automatique,Intégrale,Noir,Tunis,ADRESSE :les berges du lac 1
Land,Rover Range Rover VOGUE,03-2017,62 000 km,650 000 DT,SUV/4x4,Essence,43                                                                            CV,Automatique,Intégrale,Noir,Tunis,ADRESSE :les berges du lac 1
Mercedes-Benz,Classe E coupé E200 Coupé,01-2018,55 000 km,205 000 DT,Coupé,Essence,10                                                                            CV,Automatique,Propulsion,Blanc,Tunis,ADRESSE :les berges du lac 1
BMW,Série 7 750 LI V8 BVA,07-2010,146 000 km,112 000 DT,Berline,Essence,31                                                                            CV,Automatique,Propulsion,Blanc,Tunis,ADRESSE :les berges du lac 1
Jaguar,XE 2.5 T  R-SPORT,06-2016,100 000 km,125 000 DT,Berline,Essence,12                                                                            CV,Automatique,Propulsion,Rouge,Tunis,ADRESSE :les berges du lac 1
Mazda,CX-9,06-2018,40 000 km,145 000 DT,SUV/4x4,Essence,15                                                                            CV,Automatique,Intégrale,Blanc,Tunis,ADRESSE :les berges du lac 1
Porsche,Cayenne 3.6 L V6,06-2012,150 000 km,165 000 DT,SUV/4x4,Essence,21                                                                            CV,Automatique,Intégrale,Blanc,Tunis,ADRESSE :les berges du lac 1
Land,Rover Range Rover Sport,10-2015,105 000 km,289 000 DT,SUV/4x4,Diesel,19                                                                            CV,Automatique,Intégrale,Gris Shark,Tunis,ADRESSE :les berges du lac 1
Porsche,Panamera 4.8 V8,01-2011,150 000 km,265 000 DT,Berline,Essence,41                                                                            CV,Automatique,Propulsion,Noir,Tunis,ADRESSE :les berges du lac 1
Mercedes-Benz,CLS 500 AMG V8,01-2008,240 000 km,45 000 DT,Berline,Essence,29                                                                            CV,Automatique,Intégrale,Noir,Tunis,ADRESSE :les berges du lac 1
Jeep,Grand Cherokee 6.4 SRT-8,01-2017,118 000 km,300 000 DT,SUV/4x4,Essence,38                                                                            CV,Automatique,Intégrale,Blanc,Tunis,ADRESSE :les berges du lac 1
KIA,Sorento 3.8 V6 BVA,02-2008,120 000 km,32 000 DT,SUV/4x4,Essence,14                                                                            CV,Automatique,Intégrale,Beige,Tunis,ADRESSE :Les Berges Du Lac 1
Audi,A3 Ambition,10-2018,100 800 km,73 000 DT,Berline,Essence,6                                                                            CV,Manuelle,Traction,Gris Shark,Ariana,ADRESSE :Ennasr
Renault,Megane boite 6 siemens Tom Tom,01-2011,216 000 km,31 500 DT,Berline,Diesel,6                                                                            CV,Manuelle,Traction,Noir,Nabeul,ADRESSE :Nabeul Centre ville
Isuzu,D-Max Double Cabine,07-2017,91 200 km,63 500 DT,Pick up,Diesel,8                                                                            CV,Manuelle,Intégrale,Blanc,Mahdia,ADRESSE :El Jem
BMW,Série 1 116I SPORT LINE,01-2023,8 500 km,146 500 DT,Citadine,Essence,6                                                                            CV,Automatique,Intégrale,Noir,Tunis,ADRESSE :Tunis
KIA,Sportage تسجيل اول,07-2016,81 300 km,82 000 DT,SUV/4x4,Essence,8                                                                            CV,Automatique,Traction,Rouge,Mahdia,ADRESSE :Mahdia
BMW,Série 3 SPORT LINE,08-2014,115 000 km,76 000 DT,Berline,Essence,7                                                                            CV,Manuelle,Propulsion,Blanc,Ariana,ADRESSE :Jardins d’El Menzah
Toyota,Agya,05-2021,32 000 km,34 500 DT,Compacte,Essence,4                                                                            CV,Manuelle,Traction,Blanc,Ariana,ADRESSE :Ariana
BMW,Série 3 E36,04-1992,298 000 km,21 800 DT,Berline,Essence,7                                                                            CV,Manuelle,Traction,Blanc,Tunis,ADRESSE :Menzah 1
Fiat,Punto Classic,11-1998,400 000 km,12 000 DT,Citadine,Essence,4                                                                            CV,Manuelle,Intégrale,Noir,Tunis,ADRESSE :Tunis beb alioua
Ford,Escape Titanium,06-2014,125 000 km,56 000 DT,SUV/4x4,Essence,9                                                                            CV,Automatique,Traction,Noir,Tunis,ADRESSE :Manzah 9
Volkswagen,Golf 6 MATCH TSI 1.2,08-2012,109 000 km,50 000 DT,Compacte,Essence,5                                                                            CV,Manuelle,Traction,Gris argent,Monastir,ADRESSE :Monastir
Toyota,Yaris Sedan,03-2016,160 000 km,42 000 DT,Berline,Essence,5                                                                            CV,Manuelle,Propulsion,Gris Shark,Nabeul,ADRESSE :Nabeul
Peugeot,2008 Allure,07-2015,120 000 km,40 000 DT,SUV/4x4,Essence,5                                                                            CV,Manuelle,Traction,Marron,Bizerte,ADRESSE :Bizert
Fiat,Croma Multijet,10-2008,185 000 km,31 500 DT,Monospace,Diesel,9                                                                            CV,Manuelle,Traction,Autre,Ben Arous,ADRESSE :Residence Nassim Boukornine  Boumhal BEN AROUS.
Peugeot,508,07-2015,242 000 km,42 000 DT,Berline,Essence,7                                                                            CV,Automatique,Traction,Bleu,Sousse,ADRESSE :Hammam sousse
Renault,Clio presque neuf,03-2019,153 km,41 500 DT,Citadine,Essence,5                                                                            CV,Manuelle,Traction,Gris Shark,Sousse,ADRESSE :Hammam Sousse
Citroën,Berlingo Multispace,03-2009,355 000 km,35 000 DT,Utilitaire,Diesel,6                                                                            CV,Manuelle,Traction,Blanc,Monastir,ADRESSE :Monastir
Mini,5 portes one,03-2019,54 800 km,109 000 DT,Berline,Essence,6                                                                            CV,Automatique,Traction,Gris Shark,Sousse,ADRESSE :Khzema est 4031 Sousse
Volkswagen,Golf 7 Smartline,05-2019,60 000 km,69 000 DT,Berline,Essence,6                                                                            CV,Manuelle,Traction,Beige,Tunis,ADRESSE :Sidi Bou Said
Volkswagen,Golf 7 lounge,08-2015,80 000 km,58 500 DT,Citadine,Essence,6                                                                            CV,Manuelle,Traction,Beige,Tunis,ADRESSE :Sidi Bou Said
DS,3,03-2018,64 000 km,42 000 DT,Coupé,Essence,5                                                                            CV,Manuelle,Traction,Blanc,Ariana,ADRESSE :jardin d el menzeh
Hyundai,Grand i10,06-2021,80 000 km,40 500 DT,Citadine,Essence,5                                                                            CV,Manuelle,Traction,Bleu,Tunis,ADRESSE :Sidi Bou Said
Fiat,Grande Punto Propre,09-2010,230 000 km,24 800 DT,Autres,Essence,5                                                                            CV,Manuelle,Intégrale,Bleu,Tunis,ADRESSE :05 rue des perles hafsya
Peugeot,3008,01-2021,113 000 km,87 000 DT,SUV/4x4,Essence,7                                                                            CV,Automatique,Traction,Gris argent,Ariana,ADRESSE :jardin d el menzeh
Ford,Focus TREND ECOBOOST,05-2017,148 000 km,43 500 DT,Coupé,Essence,6                                                                            CV,Manuelle,Traction,Bleu,Tunis,ADRESSE :51 AVENUE DE LA MEDITERRANEE EL MOUROUJ 2 TUNIS
Audi,A4 Berline,11-2012,292 000 km,44 000 DT,Berline,Essence,7                                                                            CV,Manuelle,Propulsion,Gris argent,Tunis,ADRESSE :Tunis
Seat,Leon STYLE PLUS,01-2021,91 000 km,73 000 DT,Berline,Essence,5                                                                            CV,Manuelle,Traction,Gris argent,Sousse,ADRESSE :sousse
BMW,Série 5 Berline,10-2004,480 000 km,29 000 DT,Berline,Diesel,11                                                                            CV,Automatique,Propulsion,Noir,Tunis,ADRESSE :Menzah 1
DFSK,K01 Mini truck,10-2019,53 000 km,23 000 DT,Pick up,Essence,6                                                                            CV,Manuelle,Traction,Blanc,Ben Arous,ADRESSE :boumhal zahra
Ford,Focus TITANUIM,05-2017,103 000 km,53 000 DT,Compacte,Essence,6                                                                            CV,Manuelle,Traction,Blanc,Ben Arous,ADRESSE :boumhal zahra
Peugeot,2008,09-2017,34 000 km,57 000 DT,Compacte,Essence,5                                                                            CV,Manuelle,Traction,Noir,Tunis,ADRESSE :Tunis El Mourouj
Peugeot,208 Puretech,12-2015,87 000 km,34 500 DT,Citadine,Essence,5                                                                            CV,Manuelle,Traction,Blanc,Tunis,ADRESSE :Tunis
Mercedes-Benz,GLC Coupé 250 kit AMG,04-2019,111 000 km,265 000 DT,SUV/4x4,Diesel,11                                                                            CV,Automatique,Traction,Noir,Sousse,ADRESSE :Sousse
BMW,Série 5 520i luxury,03-2020,74 000 km,175 000 DT,Berline,Essence,10                                                                            CV,Automatique,Traction,Noir,Sousse,ADRESSE :Sousse
BMW,Série 4 Coupé Kit M,07-2021,11 000 km,275 000 DT,Coupé,Essence,10                                                                            CV,Automatique,Traction,Noir,Sousse,ADRESSE :Sousse
Mercedes-Benz,Classe C Avant Garde,11-2012,180 000 km,63 000 DT,Berline,Essence,9                                                                            CV,Manuelle,Intégrale,Noir,Tunis,"ADRESSE :Jardin Menzah 1, manar 1"
BMW,Série 1 URBAN,01-2012,190 000 km,53 000 DT,Compacte,Essence,7                                                                            CV,Manuelle,Intégrale,Blanc,Tunis,"ADRESSE :Jardin Menzah 1, Manar 1"
BMW,X1,10-2012,97 500 km,57 000 DT,SUV/4x4,Essence,9                                                                            CV,Automatique,Traction,Bleu,Ariana,ADRESSE :5 Rue jativa riadh el andalous Ariana
